date,target_alloc,action,equity
2012-02-23,1.0,HOLD,3087548204.241048
2012-02-24,1.0,HOLD,3117891136.853926
2012-02-27,1.0,HOLD,3132752981.3990097
2012-02-28,1.0,HOLD,3226258753.328492
2012-02-29,1.0,HOLD,3184150193.784089
2012-03-01,1.0,HOLD,3261555634.1230645
2012-03-02,1.0,HOLD,3251647737.759676
2012-03-05,1.0,HOLD,3150091800.0349402
2012-03-06,1.0,HOLD,3059682245.719017
2012-03-07,1.0,HOLD,3129656763.7854505
2012-03-08,1.0,HOLD,3228735727.419339
2012-03-09,1.0,HOLD,3267748069.3501825
2012-03-12,1.0,HOLD,3272702017.531877
2012-03-13,1.0,HOLD,3457236587.2999945
2012-03-14,1.0,HOLD,3495629685.708126
2012-03-15,1.0,HOLD,3522876400.707445
2012-03-16,1.0,HOLD,3514826234.912192
2012-03-19,1.0,HOLD,3591612431.728455
2012-03-20,1.0,HOLD,3611428224.4552336
2012-03-21,1.0,HOLD,3610189737.4098096
2012-03-22,1.0,HOLD,3587896970.592185
2012-03-23,1.0,HOLD,3582943022.4104905
2012-03-26,1.0,HOLD,3770573809.792166
2012-03-27,1.0,HOLD,3784816410.8145375
2012-03-28,1.0,HOLD,3740230877.179288
2012-03-29,1.0,HOLD,3701837778.7711563
2012-03-30,1.0,HOLD,3676448794.3399725
2012-04-02,1.0,HOLD,3788531871.950809
2012-04-03,1.0,HOLD,3788531871.950809
2012-04-04,1.0,HOLD,3634340234.79557
2012-04-05,1.0,HOLD,3700599291.725733
2012-04-09,1.0,HOLD,3615762929.114216
2012-04-10,1.0,HOLD,3441136255.7094874
2012-04-11,1.0,HOLD,3490675737.5264316
2012-04-12,1.0,HOLD,3607712763.3189626
2012-04-13,1.0,HOLD,3444851716.8457584
2012-04-16,1.0,HOLD,3335864856.8484807
2012-04-17,1.0,HOLD,3532784297.070834
2012-04-18,1.0,HOLD,3506776069.1169386
2012-04-19,1.0,HOLD,3393454504.460679
2012-04-20,1.0,HOLD,3356919136.6206822
2012-04-23,1.0,HOLD,3272702017.531877
2012-04-24,1.0,HOLD,3214493126.396968
2012-04-25,1.0,HOLD,3470240701.2769423
2012-04-26,1.0,HOLD,3532165053.5481224
2012-04-27,1.0,HOLD,3592850918.7738795
2012-04-30,1.0,HOLD,3517922452.525751
2012-05-01,1.0,HOLD,3537738245.2525287
2012-05-02,1.0,HOLD,3561269499.1155767
2012-05-03,1.0,HOLD,3451044152.0728765
2012-05-04,1.0,HOLD,3197773551.2837486
2012-05-07,1.0,HOLD,3202108255.942732
2012-05-08,0.5,TRADE,3166811375.1481586
2012-05-09,0.4,TRADE,3158145001.4427395
2012-05-10,0.4,HOLD,3145232901.603804
2012-05-11,0.4,HOLD,3143999303.9881387
2012-05-14,0.4,HOLD,3109499456.6782684
2012-05-15,0.4,HOLD,3098827439.2277794
