bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,15,0.32,0.1,0.18,0.5,1.3,35.31,-49.54,0.713,43.69,-62.37,0.7
30,15,0.32,0.1,0.18,0.6666666666666666,1.0,34.9,-49.54,0.704,42.42,-56.42,0.752
30,15,0.32,0.1,0.18,0.6666666666666666,1.3,34.96,-49.54,0.706,43.96,-62.37,0.705
30,15,0.32,0.14,0.14,0.3333333333333333,1.0,32.84,-50.14,0.655,41.23,-48.05,0.858
30,15,0.32,0.14,0.14,0.3333333333333333,1.3,32.36,-50.14,0.645,43.98,-48.05,0.915
30,15,0.32,0.14,0.14,0.5,1.0,32.93,-49.54,0.665,41.42,-48.05,0.862
30,15,0.32,0.14,0.14,0.5,1.3,32.44,-49.54,0.655,44.18,-48.05,0.919
30,15,0.32,0.14,0.14,0.6666666666666666,1.0,32.69,-51.26,0.638,41.38,-48.05,0.861
30,15,0.32,0.14,0.14,0.6666666666666666,1.3,32.2,-51.26,0.628,44.14,-48.05,0.919
30,15,0.32,0.14,0.16,0.3333333333333333,1.0,34.48,-50.14,0.688,42.61,-51.22,0.832
30,15,0.32,0.14,0.16,0.3333333333333333,1.3,34.79,-50.14,0.694,45.06,-53.54,0.842
30,15,0.32,0.14,0.16,0.5,1.0,34.56,-49.54,0.698,42.81,-51.22,0.836
30,15,0.32,0.14,0.16,0.5,1.3,34.88,-49.54,0.704,45.26,-53.54,0.845
30,15,0.32,0.14,0.16,0.6666666666666666,1.0,34.32,-51.26,0.669,42.77,-51.22,0.835
30,15,0.32,0.14,0.16,0.6666666666666666,1.3,34.63,-51.26,0.676,45.22,-53.54,0.845
30,15,0.32,0.14,0.18,0.3333333333333333,1.0,34.26,-50.14,0.683,41.9,-56.42,0.743
30,15,0.32,0.14,0.18,0.3333333333333333,1.3,34.32,-50.14,0.684,43.44,-62.37,0.696
30,15,0.32,0.14,0.18,0.5,1.0,34.34,-49.54,0.693,42.1,-56.42,0.746
30,15,0.32,0.14,0.18,0.5,1.3,34.4,-49.54,0.694,43.64,-62.37,0.7
30,15,0.32,0.14,0.18,0.6666666666666666,1.0,34.1,-51.26,0.665,42.06,-56.42,0.746
30,15,0.32,0.14,0.18,0.6666666666666666,1.3,34.16,-51.26,0.666,43.6,-62.37,0.699
30,21,0.24,0.1,0.14,0.3333333333333333,1.0,34.13,-43.98,0.776,40.02,-43.67,0.916
30,21,0.24,0.1,0.14,0.3333333333333333,1.3,33.64,-43.98,0.765,42.75,-43.67,0.979
30,21,0.24,0.1,0.14,0.5,1.0,35.51,-43.98,0.808,40.46,-43.67,0.927
30,21,0.24,0.1,0.14,0.5,1.3,35.02,-43.98,0.796,43.19,-43.67,0.989
30,21,0.24,0.1,0.14,0.6666666666666666,1.0,35.69,-49.73,0.718,40.91,-43.67,0.937
30,21,0.24,0.1,0.14,0.6666666666666666,1.3,35.2,-49.73,0.708,43.65,-43.67,1.0
30,21,0.24,0.1,0.16,0.3333333333333333,1.0,35.88,-43.98,0.816,41.98,-43.67,0.961
30,21,0.24,0.1,0.16,0.3333333333333333,1.3,36.2,-44.82,0.808,44.43,-45.41,0.978
30,21,0.24,0.1,0.16,0.5,1.0,37.28,-43.98,0.848,42.43,-43.67,0.972
30,21,0.24,0.1,0.16,0.5,1.3,37.6,-44.82,0.839,44.88,-45.41,0.988
30,21,0.24,0.1,0.16,0.6666666666666666,1.0,37.46,-49.73,0.753,42.88,-43.67,0.982
30,21,0.24,0.1,0.16,0.6666666666666666,1.3,37.79,-49.73,0.76,45.34,-45.41,0.999
30,21,0.24,0.1,0.18,0.3333333333333333,1.0,35.55,-42.65,0.834,41.35,-48.72,0.849
30,21,0.24,0.1,0.18,0.3333333333333333,1.3,35.61,-43.85,0.812,42.88,-55.73,0.769
30,21,0.24,0.1,0.18,0.5,1.0,36.95,-42.56,0.868,41.79,-48.72,0.858
30,21,0.24,0.1,0.18,0.5,1.3,37.01,-43.85,0.844,43.33,-55.73,0.777
30,21,0.24,0.1,0.18,0.6666666666666666,1.0,37.13,-49.73,0.747,42.25,-48.72,0.867
30,21,0.24,0.1,0.18,0.6666666666666666,1.3,37.19,-49.73,0.748,43.79,-55.73,0.786
30,21,0.24,0.14,0.14,0.3333333333333333,1.0,33.81,-43.98,0.769,39.79,-49.03,0.812
30,21,0.24,0.14,0.14,0.3333333333333333,1.3,33.33,-43.98,0.758,42.51,-49.03,0.867
30,21,0.24,0.14,0.14,0.5,1.0,34.26,-43.98,0.779,40.32,-49.03,0.822
30,21,0.24,0.14,0.14,0.5,1.3,33.78,-43.98,0.768,43.06,-49.03,0.878
30,21,0.24,0.14,0.14,0.6666666666666666,1.0,35.0,-48.15,0.727,40.76,-49.03,0.831
30,21,0.24,0.14,0.14,0.6666666666666666,1.3,34.51,-48.15,0.717,43.5,-49.03,0.887
30,21,0.24,0.14,0.16,0.3333333333333333,1.0,35.56,-43.98,0.809,41.74,-49.03,0.851
30,21,0.24,0.14,0.16,0.3333333333333333,1.3,35.88,-44.82,0.8,44.18,-49.03,0.901
30,21,0.24,0.14,0.16,0.5,1.0,36.02,-43.98,0.819,42.29,-49.03,0.863
30,21,0.24,0.14,0.16,0.5,1.3,36.34,-44.82,0.811,44.74,-49.03,0.913
30,21,0.24,0.14,0.16,0.6666666666666666,1.0,36.76,-48.15,0.763,42.73,-49.03,0.872
30,21,0.24,0.14,0.16,0.6666666666666666,1.3,37.08,-48.15,0.77,45.19,-49.03,0.922
30,21,0.24,0.14,0.18,0.3333333333333333,1.0,35.23,-43.35,0.813,41.11,-48.72,0.844
30,21,0.24,0.14,0.18,0.3333333333333333,1.3,35.29,-43.85,0.805,42.64,-55.73,0.765
30,21,0.24,0.14,0.18,0.5,1.0,35.69,-43.07,0.829,41.66,-48.72,0.855
30,21,0.24,0.14,0.18,0.5,1.3,35.75,-43.85,0.815,43.19,-55.73,0.775
30,21,0.24,0.14,0.18,0.6666666666666666,1.0,36.43,-48.15,0.757,42.09,-48.72,0.864
30,21,0.24,0.14,0.18,0.6666666666666666,1.3,36.49,-48.15,0.758,43.63,-55.73,0.783
30,21,0.28,0.1,0.14,0.3333333333333333,1.0,33.77,-45.06,0.75,39.58,-54.68,0.724
